track_id,X,Y,Z
1,-1.86846,-1.61373,10.0421
3,-1.67753,-0.999674,10.1584
4,-2.03615,-2.98185,9.51414
5,-2.11788,-2.75445,9.4021
6,-1.99743,-3.54372,9.80917
10,-2.00815,-2.57798,9.94172
13,-1.90654,-2.14552,9.73554
16,-1.87917,-2.43225,9.64696
17,-1.99641,-3.52228,9.53584
18,-1.87244,-1.96102,9.90602
19,-1.59252,-3.41384,9.19109
21,-1.98519,-3.20244,9.36961
22,-1.91385,-2.92839,9.20897
23,-1.76753,-1.71119,9.84041
26,-1.58777,-1.54109,9.75703
28,-1.88806,-2.50544,9.35954
34,-1.5743,-0.817618,10.4048
35,-1.60175,-1.3388,9.88494
37,-1.68166,-2.29716,9.40019
45,-1.154,-3.15278,9.13195
46,-1.7358,-3.1259,9.25512
76,-1.53051,-2.91532,9.1637
80,-1.30045,-2.52573,9.26584
87,-1.72262,-2.70416,9.14788
91,-1.14708,-1.73544,9.70345
98,-1.69957,-2.02965,9.54012
100,-1.06683,-3.42601,9.22834
103,-1.74882,-3.64676,9.39859
112,-1.87185,-3.41396,9.29341
114,-1.54386,-1.84196,9.69781
116,-1.43549,-3.17945,9.22919
119,-1.34253,-0.909511,10.2118
123,-1.30632,-1.9298,9.51164
124,-1.99306,-2.67033,9.17033
127,-1.1914,-2.28366,9.33214
129,-1.44146,-2.20136,9.39705
137,-1.019,-2.93467,9.28454
155,-1.37411,-1.56547,9.76679
167,-1.42087,-1.1521,10.0764
170,-1.56559,-2.55959,9.30956
174,-0.775758,-3.03086,9.30073
182,-1.65489,-1.51051,9.73482
187,-1.03942,-2.51006,9.39874
201,-1.02777,-1.99026,9.68308
203,-1.38832,-2.75528,9.27198
219,-1.15835,-1.19638,10.2312
229,-1.23746,-1.41427,9.98468
232,-1.06238,-1.58429,10.1584
250,-1.85029,-1.37842,10.1012
259,-1.06202,-1.03804,10.5625
260,-1.70093,-1.01767,10.2529
269,-2.04013,-2.71169,9.27983
281,-1.75634,-1.73091,9.84274
284,-0.845183,-3.27174,9.20189
285,-0.982907,-2.33116,9.56895
288,-0.86816,-2.86987,9.55973
289,-1.14744,-2.79562,9.42236
295,-1.35302,-0.910471,10.166
301,-1.22647,-0.850745,10.3968
302,-0.700104,-3.30606,9.39034
305,-1.22891,-2.18524,9.60773
313,-1.1403,-0.755652,10.7163
319,-1.07312,-1.31867,10.3957
321,-0.918008,-2.5085,9.84568
