track_id,X,Y,Z
0,-0.0192077,-1.40975,6.84986
1,-0.3164,-1.78521,6.45995
2,0.394296,-2.09922,6.39575
3,-0.202716,-2.392,6.35782
4,0.190719,-2.2124,6.33077
5,-0.0905931,-1.95716,6.508
6,-0.391243,-1.2004,6.84297
7,-0.131257,-1.16553,6.98918
9,-0.342258,-1.08349,7.00429
10,-0.175983,-2.1856,6.38464
11,0.295658,-1.87273,6.61629
12,-0.225812,-1.53041,6.55711
13,-0.37467,-1.43795,6.70549
14,0.184014,-1.72263,6.76631
15,-0.314605,-2.03873,6.49264
16,-0.525182,-1.70562,6.55623
17,-0.589213,-2.4856,6.47209
19,0.165285,-2.04085,6.49027
20,-0.140905,-1.75444,6.59424
22,-0.498443,-1.92122,6.5454
24,-0.363456,-2.4914,6.44216
25,-0.519003,-2.30882,6.53649
29,-0.238402,-1.33743,6.87352
32,-0.495995,-2.12545,6.5748
34,-0.647881,-0.951683,7.29122
35,-0.5685,-1.38231,6.84357
36,0.313019,-2.4669,6.68637
39,0.0131695,-2.19897,6.4752
40,-0.614557,-1.61266,6.84368
45,-0.504069,-1.02958,7.14512
49,-0.639682,-1.99151,6.69135
50,-0.31549,-2.24946,6.5453
60,-0.633521,-2.40492,6.64531
61,0.502911,-1.90777,6.47368
62,0.473371,-1.81402,6.77435
63,0.535857,-2.2827,6.49033
65,0.637323,-2.09461,6.5595
66,-0.670377,-1.38875,7.02227
67,0.69135,-1.96745,6.80173
69,0.0508015,-2.43604,6.55088
78,-0.0107181,-1.37078,7.07992
80,-0.265763,-1.01661,7.21191
87,-0.627827,-1.16155,7.01042
116,0.091055,-1.6759,6.8011
124,0.0476689,-1.56553,7.00241
130,0.560971,-2.31037,6.5037
136,-0.583783,-1.04916,7.55699
142,-0.139167,-1.21984,7.20703
148,0.587816,-2.23706,6.73874
149,-0.280275,-1.19633,7.41129
152,0.295193,-2.54736,6.76624
198,0.13159,-2.20434,6.3583
219,-0.327776,-1.07912,6.99921
223,-0.122586,-1.94879,6.52445
